Note_Type,left_fist_dist,left_fist_angle,right_fist_dist,right_fist_angle,left_arm_angle,right_arm_angle,nose_position,nose_above_shoulder
GUARD,0.2123391078475874,325.3957359153642,0.6044025461370314,114.63028380121258,3.780159936627964,32.98893481048162,0.046114633836322125,1
WEAVE_R,0.48972370501205137,76.99112361001421,0.18155671204003793,193.64978763191297,96.37958092069012,26.539353951801637,-0.03168725728331007,1
JAB_L,0.26777973794860016,322.1165438358444,0.5346311103425492,112.97145188535956,3.830027927412561,53.41113245633588,-0.09293672098082917,1
STRAIGHT_R,0.3513242481405921,327.0679571648414,0.57687355440135,117.36094868994692,0.9897666823844693,0.04492290085040958,-0.12983673863769354,1
GUARD,0.288934309686748,325.46589796986837,0.4115298837627792,126.01513188212425,3.2901754037847217,0.2928499502105036,-0.03256644571636684,1
WEAVE_L,0.770918161095591,82.25596133991421,0.18413669668032176,244.43762378151956,131.16337398891497,33.50934406448687,-0.003055148055940814,1
JAB_L,0.2637507533320873,325.7912423618505,0.6001876101260121,106.6411373000433,1.5508886616329265,145.2568772421728,-0.09039486385647402,1
STRAIGHT_R,0.26945862642091534,316.67320179794336,0.6191434200563243,117.64892801071473,3.5040753353552954,24.396799411295195,0.034635673598188914,1
GUARD,0.2748883566364699,326.715777261048,0.5034733624118876,127.55398877529646,0.12469440957597253,4.806606176960222,0.026411231629123223,1
WEAVE_R,0.7429527660402806,79.52357681096002,0.16902355729900828,218.88193143222654,137.18605243358738,27.490594567163722,-0.035509773396448355,1
JAB_L,0.2587313502087846,337.7088262747318,0.6018782418359905,104.81872907773851,1.215593934722938,158.84677310113057,-0.11502425611593405,1
STRAIGHT_R,0.3180358097526026,336.046692134124,0.5759167558100007,116.76507203726445,3.064846804854391,7.545926413525991,-0.21838332323478313,1
GUARD,0.2417576405613902,335.97092412693456,0.4022788236481355,121.89112833789929,0.2802942340991829,7.292525038019074,-0.0793852491550524,1
WEAVE_L,0.8155728113603716,81.60613783656147,0.33459766665336016,264.69344732546324,135.581034930465,36.10861538805351,-0.051755744983287666,1
JAB_L,0.25398230323474524,323.72498633675934,0.597788475036509,111.4470655221219,3.444953823787756,1.7494329201441012,-0.07462119526445198,1
STRAIGHT_R,0.226694748445222,304.7676089740669,0.5195599489570741,133.46241305963648,5.082501829984972,21.341166256623463,0.08719789705035055,1
GUARD,0.2795242182575069,338.4590101583863,0.3776424575430475,135.6398912522551,6.542196249346037,1.4155036448686396,-0.0945006978516676,1
WEAVE_R,0.7302369436933556,80.37689251110505,0.089505511830799,235.05936243948145,138.89767538334533,36.491223782362226,-0.06725596887839212,1
JAB_L,0.24604833504367649,308.7034671877475,0.7105538185697017,102.14424986622606,1.178881220623581,175.84537778267492,-0.024033083335221667,1
STRAIGHT_R,0.3156328395820837,328.835638006676,0.6904758014515926,114.8270410047024,11.684037538916423,80.01015738224338,-0.19169012554985557,1
GUARD,0.2608764386521435,323.75812244270656,0.5660084735676904,111.7344253506434,3.985229472487848,2.4112609371626426,-0.05281835668584563,1
WEAVE_L,0.7573485091788751,83.36708482928654,0.1573153858832006,216.8690704675675,121.55142967619402,37.30894734602198,-0.04264023378091793,1
JAB_L,0.2151387324943409,341.4515189609215,0.7259393081729538,102.6817983002758,2.447698038397415,163.92673003685405,-0.11337110966775943,1
STRAIGHT_R,0.294637803927951,318.04284658137186,0.5770739971369991,115.77061627765664,7.780374960868292,7.845379228109995,0.040079079705718265,1
GUARD,0.3309223682675257,335.10525716902214,0.5396850467315497,122.06301957614407,0.3711253913007325,2.2451171725898074,-0.09201197483276322,1
WEAVE_R,0.4749219008368295,60.53974855933858,0.13672927762692794,145.80344425880529,55.56031646751385,23.71538496646268,-0.13931603501632708,1
JAB_L,0.24818272014065657,37.324358376023255,0.4498084068045538,103.62694834323713,3.0999604065438566,127.7648688865644,-0.15017006765584787,1
STRAIGHT_R,0.2990939288676505,331.4448896446608,0.6957920846761673,110.81831589574003,5.087994061511779,34.277271167877224,-0.10188528238299796,1
GUARD,0.2181251923106269,352.6577703361451,0.5238411438689592,117.30867544703818,6.853093549302611,16.121986659782387,-0.036490134946409396,1
WEAVE_L,0.7470947538640615,84.80258734133305,0.27100004727401394,239.14447983206924,121.27737149474808,33.251929298526676,-0.0165460524725025,1
JAB_L,0.3182616211795127,315.5533434971983,0.5949058526499846,109.58944298927979,3.6969024211979433,80.82160830913769,-0.08705116671082465,1
STRAIGHT_R,0.2505965808252544,313.61021986220686,0.5901819454088754,113.33955803876587,5.997824675539224,28.330190075678132,0.10800667495808777,1
GUARD,0.3125225262666655,343.7492456224724,0.5406641530242754,118.33709040852386,1.5347532619826383,1.0881563725865977,-0.07877839281766227,1
WEAVE_R,0.9157949562057182,81.63833984160928,0.22355941762600304,238.49558421023795,145.77584528914187,24.192664536635395,-0.11800096985791546,1
JAB_L,0.3017454875619528,311.87786008227715,0.6416154372417257,113.44104732729939,3.0578000185732224,160.37319491576892,-0.02737506909633112,1
STRAIGHT_R,0.31709862505764863,341.4079740212087,0.6354460049252781,117.77482660133305,6.538050622224734,19.29707409743069,-0.2498082296926187,1
GUARD,0.3779406770067497,308.670489192769,0.7334549725249379,96.8264871521425,1.070381729052459,167.67137121245895,-0.031095236309758245,1
WEAVE_L,0.837552642090845,86.54192267000481,0.3974187989525105,268.6330928847432,134.8631176739455,35.35595737073669,-0.11328423796628574,1
JAB_L,0.2503261432911856,319.70458240683365,0.534454535404958,108.06565681760156,5.944951013725381,59.59156727018296,-0.13460640645045183,1
STRAIGHT_R,0.2861415163269463,305.4435060042546,0.6629492872629971,106.11988048709445,12.305106802700355,15.424391969780183,0.11607740719749775,1
